Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-02-07,07:19:51,-15.805,-172.967,Earthquake,18.0,,378.0,5.8,MWW,,,38.2,,,0.84,USC000F31W,US,US,US,Reviewed
2013-02-07,08:03:41,-11.03,164.778,Earthquake,11.0,,361.0,5.8,MWW,,,24.6,,,0.66,USC000F329,US,US,US,Reviewed
2013-02-07,18:59:16,-10.997,165.655,Earthquake,11.0,,387.0,6.7,MWW,,,26.5,,,1.03,USC000F3FX,US,US,US,Reviewed
2013-02-07,19:48:18,-10.85,165.794,Earthquake,10.0,,280.0,5.8,MWC,,,29.4,,,0.75,USC000F3HB,US,US,GCMT,Reviewed
2013-02-08,04:26:16,-11.007,165.79,Earthquake,14.0,,221.0,5.5,MWB,,,41.0,,,0.85,USC000F3R7,US,US,US,Reviewed
2013-02-08,09:09:01,-10.914,164.744,Earthquake,6.0,,190.0,5.5,MWB,,,31.4,,,0.76,USC000F3VV,US,US,US,Reviewed
2013-02-08,11:12:12,-10.838,165.969,Earthquake,12.0,,400.0,6.8,MWW,,,17.5,,,1.14,USC000F3X8,US,US,US,Reviewed
2013-02-08,15:00:12,-10.927,165.891,Earthquake,10.0,,134.0,5.8,MWC,,,34.6,,,1.11,USC000F40D,US,US,GCMT,Reviewed
2013-02-08,15:26:38,-10.928,166.018,Earthquake,21.0,,334.0,7.1,MWW,,,16.5,,,0.92,USC000F40J,US,US,US,Reviewed
2013-02-08,17:59:54,-6.315,154.737,Earthquake,93.0,4.4,511.0,5.7,MB,,299.0,11.5,,,0.8,USC000F42I,US,US,US,Reviewed
2013-02-08,18:07:47,-10.869,166.631,Earthquake,10.0,,312.0,5.7,MWC,,,51.7,,,1.08,USC000F42W,US,US,GCMT,Reviewed
2013-02-08,23:16:27,-11.024,166.76,Earthquake,10.0,,193.0,5.5,MWB,,,87.6,,,0.95,USC000F499,US,US,US,Reviewed
